"","subject_id","cb","prob0","prob1","prob2","prob3","structure","trialtype","ans","ansVar","ansVar2","node3","isPerm","isCoh","pgroup","isLat","realLat","connectedWith"
"1015","na316rcy4y",0,"50%","10%","50%","80%","conjunctive","c3",1,"A","A","A=1",FALSE,TRUE,"2",FALSE,FALSE,"A"
"1016","na316rcy4y",0,"10%","50%","80%","50%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,FALSE,"B"
"1017","na316rcy4y",0,"50%","10%","50%","80%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"1018","nbh7o84brz",0,"10%","50%","80%","50%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,TRUE,"B"
"1019","nbh7o84brz",0,"50%","10%","50%","80%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"2",FALSE,FALSE,"B"
"1020","nbh7o84brz",0,"10%","70%","80%","50%","conjunctive","c5",3,"Au","Au=1","Au=1",TRUE,TRUE,"3",TRUE,FALSE,"A"
"1021","nbh7o84brz",0,"50%","10%","50%","80%","disjunctive","d5",2,"A","A","A=0",FALSE,FALSE,"2",FALSE,FALSE,"A"
"1022","nbh7o84brz",0,"50%","10%","50%","80%","disjunctive","d4",6,"B","B","B=0",TRUE,TRUE,"2",FALSE,FALSE,"B"
"1023","nfmrpcwpdx",0,"50%","10%","50%","80%","disjunctive","d6",4,"Au","Au=0","Au=0",TRUE,TRUE,"2",TRUE,FALSE,"A"
"1024","nfmrpcwpdx",0,"10%","70%","80%","50%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"3",TRUE,FALSE,"B"
"1025","nfmrpcwpdx",0,"10%","50%","80%","50%","conjunctive","c3",2,"A","A","A=0",FALSE,FALSE,"1",FALSE,FALSE,"A"
"1026","nfmrpcwpdx",0,"10%","70%","80%","50%","conjunctive","c4",4,"Au","Au=0","Au=0",TRUE,TRUE,"3",TRUE,TRUE,"A"
